,YearTerm,Subject,Number,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Primary Instructor
80305,2021-fa,ACE,199,Introduction to Sales,8,27,4,0,2,0,0,0,0,0,1,0,0,0,"Irani, Kaizad R"
10998,2021-fa,ACE,203,Intro to Public Policy & Law,3,9,13,15,5,0,0,0,0,0,0,0,0,0,"Coppess, Jonathan W"
52339,2021-fa,ACE,210,Environmental Economics,19,26,21,9,25,8,8,15,1,0,0,0,0,2,"Christensen, Peter"
39931,2021-fa,ACE,222,Agricultural Marketing,33,36,14,8,8,6,3,2,1,0,2,2,4,0,"Stoddard, Paul B"
96682,2021-fa,ACE,240,Personal Financial Planning,5,19,12,13,12,13,9,10,3,4,3,2,4,1,"Stoddard, Paul B"
64718,2021-fa,ACE,251,The World Food Economy,31,118,39,22,38,12,14,3,3,3,4,1,9,0,"Michelson, Hope C"
55114,2021-fa,ACE,261,Applied Statistical Methods,3,6,2,1,3,2,2,3,1,0,0,0,0,0,"Gundersen, Lisa C"
12291,2021-fa,ACE,262,App Stat Mthds & Data AnlytcsI,18,31,16,5,21,8,2,7,3,8,3,0,10,0,"Sellars, Sarah C"
80045,2021-fa,ACE,264,App Stat Mthds & Data Anlytcs2,5,9,8,8,15,6,4,8,2,0,0,0,3,2,"Janzen, Joseph P"
75804,2021-fa,ACE,300,Interm. Applied Microeconomics,6,8,7,5,17,16,8,20,11,1,7,3,2,0,"Endres, Renata"
70833,2021-fa,ACE,310,Natural Resource Economics,11,4,4,2,4,2,2,6,1,2,3,0,3,0,"Endres, Renata"
20702,2021-fa,ACE,341,Issues in Agribus Mkts & Mgmt,20,22,7,3,8,3,1,4,0,0,1,0,2,0,"Karplus, Lauren E"
90604,2021-fa,ACE,341,Issues in Cons Econ & Finance,21,30,6,2,7,1,0,1,0,0,1,1,0,0,"Helton, Caroline A"
49249,2021-fa,ACE,341,Contemp Issue Comm Fin Plng,9,34,5,5,5,1,1,3,2,0,4,0,1,0,"Allen, Sharon C"
67641,2021-fa,ACE,341,Issues in AgAccy and FinAg,2,36,2,1,3,0,2,1,1,0,0,0,0,0,"Finnegan, Ann B"
31356,2021-fa,ACE,345,Finan Decision Indiv Sm Bus,0,78,10,16,14,6,2,2,2,3,2,0,2,0,"Paulson, Nicholas D"
77914,2021-fa,ACE,346,Tax Policy and Finan Planning,30,22,12,3,9,8,5,3,6,1,1,1,0,1,"Breen, John"
52008,2021-fa,ACE,398,Risk Mngmt in Personal Fin Pla,2,8,12,8,12,3,3,2,1,0,0,0,9,0,"Sanchez, Donovan"
97794,2021-fa,ACE,406,Environmental Law,0,16,6,1,11,6,1,7,1,0,4,0,3,0,"Endres, A B"
28106,2021-fa,ACE,411,Environment and Development,8,13,6,3,6,2,3,0,1,0,1,0,2,1,"Janzen, Sarah A"
28534,2021-fa,ACE,427,Commodity Price Analysis,11,6,4,3,4,8,13,0,4,2,3,2,0,0,"Irwin, Scott H"
40032,2021-fa,ACE,428,Commodity Futures and Options,0,5,2,2,2,5,4,5,0,1,0,0,1,0,"Robe, Michel A"
96566,2021-fa,ACE,435,Global Agribusiness Management,100,6,7,7,5,2,1,0,1,0,0,0,3,0,"Irani, Kaizad R"
75756,2021-fa,ACE,444,Finan Serv & Invest Plan,18,10,0,0,12,0,0,6,0,0,4,0,3,1,"Lemoine, Craig"
46181,2021-fa,ACE,445,Int Personal Fin & Estate Plan,9,39,0,0,40,0,1,14,0,0,1,0,7,0,"Lemoine, Craig"
67796,2021-fa,ACE,455,Intl Trade in Food and Agr,5,11,9,6,9,4,7,5,2,0,0,0,1,1,"Ridley, William C"
63656,2021-fa,ACE,474,Econ of Consumption,1,3,1,0,5,2,6,2,2,3,1,0,2,0,"Lyons, Angela C"
45838,2021-fa,ACE,476,Behavioral Economics,0,5,4,2,4,4,4,2,4,1,1,0,1,0,"Lyons, Angela C"
94386,2021-fa,ACES,101,Contemporary Issues in ACES,10,7,3,1,1,0,0,0,0,0,0,0,0,0,"Gist, Toni M"
87090,2021-fa,ACES,179,History of Ag in IL Since 1860,1,10,3,3,7,1,1,3,3,0,0,1,2,1,"Reid, Debra A"
84892,2021-fa,ADV,150,Introduction to Advertising,31,17,2,0,2,0,0,0,0,0,0,0,2,0,"Hall, Steven R"
31649,2021-fa,ADV,270,Principles of Sales,28,9,6,10,3,1,1,3,3,2,1,1,5,0,"Clifton, Dionne J"
27765,2021-fa,ADV,281,Advertising Research Methods,2,3,2,5,7,1,2,1,3,1,0,0,0,0,"Vargas, Patrick T"
29634,2021-fa,ADV,283,Advertising and Brand Strategy,1,18,6,3,0,1,0,0,0,0,0,0,1,0,"Mabry-Flynn, Amanda D"
25251,2021-fa,ADV,284,Consumer Insight,0,5,7,7,0,2,1,4,1,0,0,0,0,0,"Duff, Brittany"
29100,2021-fa,ADV,290,Becoming an Influencer,5,26,4,1,7,1,1,2,0,2,0,0,1,1,"Wilson, Carrie A"
62328,2021-fa,ADV,290,Sports Public Relations,7,4,2,2,3,0,1,2,2,0,0,0,1,0,"Warren, Stephen M"
47694,2021-fa,ADV,305,Digital ADV Content,28,21,3,1,3,1,0,0,0,1,0,0,2,0,"Fisher, Jacob T"
78319,2021-fa,ADV,310,Intro to Public Relations,5,40,10,6,19,1,1,5,2,3,1,0,2,0,"Wilson, Carrie A"
20650,2021-fa,ADV,311,Classic Campaigns,0,2,3,4,7,3,2,1,0,1,2,0,2,0,"Chambers, Jason P"
17914,2021-fa,ADV,320,Sales Management,41,3,6,5,2,4,1,3,1,4,0,2,5,1,"Clifton, Dionne J"
52727,2021-fa,ADV,370,Sales and the Consumer,65,9,4,9,8,5,8,1,0,3,1,2,15,0,"Clifton, Dionne J"
20354,2021-fa,ADV,390,Content Creation,0,19,23,18,18,18,15,1,0,1,0,0,1,0,"Sheldon, Peter S"
75651,2021-fa,ADV,393,Advertising and Society,4,15,11,3,6,5,4,5,1,0,1,0,2,0,"Nelson, Michelle R"
52094,2021-fa,ADV,409,Media Entrepreneurship,1,34,5,1,1,0,0,0,0,0,0,0,1,1,"Kasdan, Terry P"
95141,2021-fa,ADV,460,Innovation in Advertising,12,8,1,0,4,0,0,1,0,0,0,0,1,0,"Maslowska, Ewa H"
20749,2021-fa,ADV,483,Audience Analysis,1,9,9,3,5,4,1,0,0,0,0,0,0,0,"Wise, Kevin R"
74050,2021-fa,ADV,498,The Sandage Project,0,27,0,0,1,0,0,0,0,0,0,0,0,0,"Meron, Shachar"
80651,2021-fa,AE,100,Intro to Aerospace Engineering,0,63,11,2,4,1,1,2,0,0,0,1,0,0,"Zahedi Mehr, Negar"
50711,2021-fa,AE,140,CAD,0,20,9,3,3,1,0,0,0,2,0,0,1,0,"Laystrom-Woodar, Julia K"
52812,2021-fa,AE,199,"Design, Build, Fly",5,15,3,0,1,0,0,0,0,0,0,0,0,0,"Merret, Jason M"
34044,2021-fa,AE,199,Introduction to Rocketry,17,9,0,0,0,0,0,1,0,0,1,0,0,0,"Woodard, Brian S"
54616,2021-fa,AE,202,Aerospace Flight Mechanics,8,9,4,5,3,5,2,1,1,0,1,0,4,1,"Tran, Huy T"
49475,2021-fa,AE,311,Incompressible Flow,1,29,24,14,10,9,5,2,6,1,0,3,4,1,"Goza, Andres J"
47050,2021-fa,AE,321,Mechs of Aerospace Structures,1,19,4,16,15,11,4,7,9,1,1,1,8,0,"Lambros, John"
12242,2021-fa,AE,323,Applied Aerospace Structures,2,11,2,5,3,4,3,0,4,1,2,1,3,0,"Chew, Huck Beng"
79790,2021-fa,AE,352,Aerospace Dynamical Systems,48,24,9,5,3,3,0,1,0,0,0,0,0,0,"Eggl, Siegfried"
27147,2021-fa,AE,353,Aerospace Control Systems,16,4,2,2,4,0,1,4,1,0,2,0,4,0,"Ornik, Melkior"
66946,2021-fa,AE,402,Orbital Mechanics,29,8,18,1,0,6,0,5,0,0,0,0,1,0,"Woollands, Robyn M"
26315,2021-fa,AE,416,Applied Aerodynamics,1,12,5,4,6,6,2,4,1,0,1,0,0,0,"Ansell, Phillip J"
18786,2021-fa,AE,433,Aerospace Propulsion,0,59,24,7,11,6,3,2,1,0,2,0,0,0,"Rovey, Joshua L"
19021,2021-fa,AE,442,Aerospace Systems Design I,0,6,5,5,11,5,2,6,2,3,2,0,1,0,"Merret, Jason M"
57246,2021-fa,AE,460,Aerodynamics & Propulsion Lab,0,42,27,19,19,5,6,4,2,0,0,0,0,0,"Woodard, Brian S"
90154,2021-fa,AE,483,Autonomous Systems Lab,45,47,19,5,2,1,1,0,1,0,2,0,0,0,"Bretl, Timothy W"
15550,2021-fa,AE,498,Applied CFD,5,20,3,1,6,0,0,1,0,1,0,0,0,0,"Bodony, Daniel J"
26376,2021-fa,AE,498,Hypersonic AeroThermodynamics,4,4,2,4,4,5,3,0,0,0,0,0,0,0,"Panerai, Francesco"
64734,2021-fa,AE,598,Planetary Entry,5,13,3,3,1,2,1,0,0,0,0,0,0,0,"Putnam, Zachary R"
91530,2021-fa,AFRO,100,Intro to African American St,14,28,12,2,4,6,5,1,4,0,0,0,2,1,"McMillion, Desiree Y"
52402,2021-fa,AFRO,101,"Black America, 1619-Present",2,2,5,0,1,4,0,3,1,0,1,1,5,0,"Cha-Jua, Sundiata"
85385,2021-fa,AFRO,132,African American Music,0,36,17,12,15,10,3,3,4,2,0,2,9,1,"Meyers, John P"
31518,2021-fa,AFRO,226,Black Women Contemp US Society,7,6,6,0,3,1,0,0,0,0,1,0,0,2,"McMillion, Desiree Y"
52245,2021-fa,AFRO,243,Pan Africanism,2,9,6,4,0,3,0,0,0,1,0,0,0,0,"Bowen, Merle L"
69558,2021-fa,AFRO,383,Hist of Blk Women's Activism,1,10,7,8,1,1,0,0,0,0,2,0,0,1,"McDuffie, Erik S"
88519,2021-fa,AFRO,411,African American Psychology,5,16,1,0,5,0,0,1,1,0,1,0,0,0,"Neville, Helen A"
60810,2021-fa,AGCM,220,Communicating Agriculture,0,17,13,2,2,0,0,0,0,0,0,0,2,0,"Roberts, Owen A"
50789,2021-fa,AHS,125,James Scholars Seminar,0,42,0,0,4,0,0,0,0,0,1,0,1,0,"Pulley, Tonya M"
17168,2021-fa,AHS,199,Undergraduate Open Seminar,10,25,0,0,4,0,1,1,0,0,0,0,1,0,"Carter, April L"
78455,2021-fa,AHS,494,Disability & Assistive Technol,0,20,1,0,0,0,0,0,0,0,0,0,5,0,"Thompson, Marc"
75204,2021-fa,AIS,101,Intro to Amer Indian Studies,2,17,1,0,0,1,0,1,0,0,0,0,0,0,"Hoffman, Austin D"
77502,2021-fa,AIS,265,Intro to American Indian Lit,1,3,6,2,3,1,2,1,0,0,0,0,2,1,"Rymhs, Deena M"
19844,2021-fa,ALEC,110,Intro to ALEC,1,42,1,0,0,1,0,0,0,0,0,0,1,0,"Ochs, Gary A"
24480,2021-fa,ALEC,451,Professional Dev in ALEC,9,11,2,1,1,0,1,0,0,0,0,0,0,0,"Smist, Jennifer A"
37463,2021-fa,ANSC,100,Intro to Animal Sciences,4,58,0,4,19,0,1,18,0,0,1,0,1,2,"Parrett, Douglas F"
92222,2021-fa,ANSC,103,Working With Farm Animals,0,78,0,0,4,0,0,2,0,0,1,0,0,0,"Parsons, Carl M"
23694,2021-fa,ANSC,110,Life With Animals and Biotech,5,21,1,2,6,0,0,0,0,0,0,0,0,1,"Allen, Crystal A"
71400,2021-fa,ANSC,205,World Animal Resources,111,97,33,11,15,10,1,6,1,0,3,4,9,0,"Emmert, Jason L"
13795,2021-fa,ANSC,206,Horse Management,2,31,0,3,8,0,0,0,0,0,0,0,0,1,"Kline, Kevin H"
14448,2021-fa,ANSC,207,Science of Pets and Their Care,12,11,0,0,3,2,2,2,0,0,2,0,4,0,"Fischer-Brown, Amy E"
95849,2021-fa,ANSC,210,Grilling and BBQ Science,0,63,3,2,11,0,0,5,0,0,0,0,1,0,"Klehm, Brandon J"
90943,2021-fa,ANSC,221,"Cells, Metabolism and Genetics",39,28,15,15,10,6,8,10,10,2,3,1,11,1,"McKim, Daniel B"
79639,2021-fa,ANSC,222,Anatomy and Physiology,0,8,8,7,18,9,6,20,11,9,16,4,28,2,"Dean, Matthew J"
95990,2021-fa,ANSC,250,Companion Animals in Society,33,91,19,8,8,8,6,2,2,0,1,0,3,1,"Richardson, Sarah D"
26498,2021-fa,ANSC,251,Epidemics & Infectious Disease,0,17,0,0,28,0,0,13,0,0,2,0,1,0,"Steelman, Andrew J"
65670,2021-fa,ANSC,255,Animal Ethics,5,11,0,3,1,0,0,1,0,0,0,0,0,0,"Shike, Daniel W"
67942,2021-fa,ANSC,256,Horse's Role in Human History,0,6,0,0,6,2,0,4,2,0,5,0,4,3,"Hagstrom, Debra"
56133,2021-fa,ANSC,298,Undergraduate Seminar,0,50,0,0,7,1,0,3,0,0,2,0,4,0,"Jones-Hamlow, Katelyn A"
33416,2021-fa,ANSC,305,Human Animal Interactions,27,29,4,6,3,2,4,1,1,1,0,0,1,0,"Richardson, Sarah D"
45375,2021-fa,ANSC,307,Companion Animal Management,2,16,6,7,10,1,2,3,1,2,3,2,5,1,"Fischer-Brown, Amy E"
59942,2021-fa,ANSC,309,Meat Production and Marketing,0,31,0,0,6,0,0,0,0,0,0,0,0,0,"Dilger, Anna C"
39285,2021-fa,ANSC,350,Cellular Metabolism in Animals,0,12,0,0,15,0,0,3,0,0,1,0,3,0,"Ridlon, Jason M"
49001,2021-fa,ANSC,398,CC Humane Society Internship,1,21,0,0,3,0,0,0,0,0,0,0,0,0,"Fischer-Brown, Amy E"
35997,2021-fa,ANSC,401,Beef Production,1,14,0,3,4,0,0,0,0,0,0,0,0,0,"Parrett, Douglas F"
88450,2021-fa,ANSC,422,Companion Animal Nutrition,0,17,0,0,5,0,0,2,0,0,1,0,0,0,"Swanson, Kelly S"
65140,2021-fa,ANSC,424,Pet Food & Feed Manufacturing,0,16,0,0,6,0,0,1,0,0,0,0,0,0,"Cattai de Godoy, Maria Re"
19797,2021-fa,ANSC,431,Advanced Reproductive Biology,6,25,2,3,6,1,0,4,0,1,0,0,0,0,"Nowak, Romana A"
91022,2021-fa,ANSC,445,Statistical Methods,10,15,5,2,0,1,1,0,0,0,0,0,0,0,"Rodriguez Zas, Sandra L"
43631,2021-fa,ANSC,452,Animal Growth and Development,3,23,0,0,19,0,0,7,0,0,2,2,1,1,"Dilger, Anna C"
41330,2021-fa,ANSC,498,Integrating Animal Sciences,4,36,21,1,7,1,0,2,0,0,0,0,1,1,"Schneider, Alicia M"
48533,2021-fa,ANTH,101,Introduction to Anthropology,172,90,54,50,19,15,18,11,11,12,3,12,43,4,"Ritchison, Brandon T"
65393,2021-fa,ANTH,102,Human Origins and Culture,24,9,5,3,4,3,2,0,1,1,2,0,6,0,"Farley, Michelle"
51282,2021-fa,ANTH,103,Anthro in a Changing World,169,112,33,16,13,9,6,12,8,4,0,1,8,1,"Cox, Nicole A"
68584,2021-fa,ANTH,105,World Archaeology,9,17,4,3,14,5,1,0,0,0,0,0,2,0,"Bishop, Katelyn J"
18649,2021-fa,ANTH,106,Hist Arch Americas,11,32,6,5,16,2,1,3,2,1,2,1,3,2,"Riggs, Erin P"
21913,2021-fa,ANTH,143,Biology of Human Behavior,61,115,20,32,24,7,10,9,2,4,3,2,22,3,"Jelinek, Petra"
63619,2021-fa,ANTH,160,Race & Contemporary Issues,7,11,1,1,0,1,1,0,1,0,0,0,4,0,"Rosas, Gilberto"
48382,2021-fa,ANTH,180,The Archaeology of Death,182,61,8,13,9,2,0,0,0,0,6,0,1,1,"Silverman, Helaine I"
51330,2021-fa,ANTH,220,Introduction to Archaeology,7,9,0,2,2,0,0,0,0,0,0,0,1,0,"Verstraete, Emma L"
30153,2021-fa,ANTH,241,Human Biological Variation,8,10,5,1,0,0,1,0,0,0,0,0,2,0,"Konigsberg, Lyle W"
12555,2021-fa,ANTH,246,Forensic Science,85,355,35,26,27,4,9,12,4,3,3,1,10,2,"Hughes, Cris E"
33111,2021-fa,ANTH,262,Women's Lives,23,6,0,2,2,1,0,0,0,0,0,0,0,1,"Erten, Hatice"
85035,2021-fa,ANTH,278,Climate Change & Civilization,16,8,9,2,2,0,1,0,0,0,0,0,0,1,"Lucero, Lisa J"
77857,2021-fa,ANTH,347,Human Osteology,7,0,8,3,1,3,1,0,2,1,0,0,0,0,"Konigsberg, Lyle W"
75479,2021-fa,ANTH,407,Evolutionary Immunology,3,8,6,3,1,0,0,0,0,0,0,0,0,0,"Brinkworth, Jessica F"
58725,2021-fa,ANTH,498,Senior Capstone Seminar,0,6,7,5,0,1,0,0,0,0,1,0,2,0,"Jelinek, Petra"
17532,2021-fa,ARAB,150,Lang&Culture of Arab World,9,5,1,0,2,2,0,0,0,0,0,0,2,0,"Saadah, Eman"
94851,2021-fa,ARCH,171,Concepts & Theories Arch Dsgn,19,35,47,9,16,14,9,1,6,3,1,1,14,2,"Bliss, AnnaMarie R"
63543,2021-fa,ARCH,210,Intro Hist of World Arch,5,22,18,20,23,28,11,6,2,2,3,0,6,1,"Grossman, Heather E"
89896,2021-fa,ARCH,231,Anatomy of Buildings,19,14,26,7,21,12,2,4,3,1,0,0,5,0,"Deutsch, Randall"
50425,2021-fa,ARCH,273,Strategies of Arch Design,2,34,25,18,14,15,8,3,0,2,1,0,7,2,"Melgarejo De Be, Andrea L"
89446,2021-fa,ARCH,321,"Environ, Arch & Global Health",4,11,5,5,5,3,0,0,0,0,0,0,0,0,"Bollo, Christina S"
92438,2021-fa,ARCH,412,Medieval Architecture,0,7,2,2,6,2,1,0,0,0,0,1,1,0,"Grossman, Heather E"
77677,2021-fa,ARCH,417,Modern & Contemp Architecture,0,11,6,8,1,1,3,0,2,1,0,0,5,0,"Johnson, Tait R"
66189,2021-fa,ARCH,433,Des of Steel and Reinf Conc I,8,15,9,9,9,8,8,7,4,1,3,5,7,0,"Aminmansour, Abbas"
37344,2021-fa,ARCH,434,Environ Control Systems I,3,12,25,14,8,5,3,2,1,1,0,0,0,0,"Boubekri, Mohamed"
15678,2021-fa,ARCH,536,Plng & Design of Struct Sys,5,22,29,3,7,8,7,5,0,0,0,0,0,0,"Krishnan, Sudarshan"
39649,2021-fa,ARCH,577,Theories of Architecture,24,13,10,5,9,6,5,0,3,0,0,1,1,0,"Stallmeyer, John C"
17696,2021-fa,ARTD,251,Graphic Design Toolbox,6,4,2,2,3,1,0,1,0,0,0,0,2,0,"Bo-Linn, Isabel E"
63050,2021-fa,ARTD,270,Design Methods,11,9,0,0,0,0,0,0,0,0,1,0,1,0,"Ruecker, Stanley"
72587,2021-fa,ARTD,328,Human-Centered Product Design,0,17,12,2,0,3,0,0,2,0,0,0,0,0,"Araujo de Aguia, Carlos H"
70253,2021-fa,ARTD,426,Product Innovation,11,27,3,1,4,0,1,0,0,0,0,0,0,0,"Sethi, Simrun S"
13770,2021-fa,ARTD,451,EDGE,17,0,1,1,0,0,0,3,0,0,0,0,0,0,"Robinson, Stacey"
75546,2021-fa,ARTF,101,Contemporary Issues in Art,87,29,11,11,15,1,7,5,0,4,1,2,12,1,"Lucero, Jorge"
27608,2021-fa,ARTH,241,"Modern Art, 1880-1940",0,8,11,2,3,3,0,0,3,1,0,0,3,0,"Romberg, Kristin"
46128,2021-fa,ARTH,250,American Art,0,5,4,5,9,7,2,2,1,0,0,0,3,1,"Reitz, Erin E"
45824,2021-fa,ARTH,260,Graffiti and Murals,1,7,25,15,18,8,7,12,7,1,2,2,3,0,"Vazquez, Oscar"
32844,2021-fa,ARTJ,209,Chado (The Way of Tea),4,13,8,3,4,4,0,1,1,0,0,0,4,0,"Gunji-Ballsrud, Jennifer"
17834,2021-fa,ARTJ,299,Seminar in Japanese Aesthetics,0,23,2,1,0,1,0,1,0,0,0,0,0,0,"Stirek, Lindsey L"
61585,2021-fa,ARTJ,301,Manga: Art of Image and Word,4,25,5,1,0,1,2,0,0,0,0,0,1,0,"Stirek, Lindsey L"
63548,2021-fa,ARTS,220,Introduction to Fashion,11,13,2,0,1,0,0,0,0,0,0,0,0,0,"Becker, Susan E"
79891,2021-fa,ASRM,101,Intro to Actuarial Science,0,41,0,0,0,0,0,0,0,0,0,0,4,0,"Serafini, Paul"
48544,2021-fa,ASRM,210,Theory of Interest,0,13,9,4,3,3,4,1,0,0,0,0,0,0,"Cardinal, Timothy C"
16411,2021-fa,ASRM,406,Lin Algebra & Financial Apps,0,21,5,2,1,5,0,0,0,0,0,0,2,0,"Rosenblatt, Joseph M"
80702,2021-fa,ASRM,410,Investments and Fin Markets,10,12,9,4,5,0,0,0,2,0,0,0,2,2,"Hinkkanen, Aimo H"
46028,2021-fa,ASRM,461,Loss Models,0,6,0,3,7,1,1,3,1,1,0,0,1,0,"Freiji, Claudia G"
29831,2021-fa,ASRM,469,Casualty Actuarial Mathematics,11,5,1,5,1,1,0,0,0,0,0,0,0,0,"Cole, Paa Kow"
95952,2021-fa,ASRM,471,Life Contingencies I,24,12,4,4,7,2,2,2,0,0,0,0,0,0,"Cole, Paa Kow"
64377,2021-fa,ASTR,100,Introduction to Astronomy,44,52,16,9,15,10,4,7,3,2,0,5,7,0,"Winans, Amanda"
